,Date,Close,Open,High,Low,Volume,Change
283,2014-11-21,2.02,2.05,2.05,2.01,64500.0,-0.05164319248826288
284,2014-11-24,2.13,2.07,2.14,2.07,27900.0,0.009478672985782088
285,2014-11-25,2.11,2.11,2.13,2.11,44300.0,0.004761904761904745
286,2014-11-26,2.1,2.1,2.1,2.1,1000.0,0.0
287,2014-11-27,2.1,2.1,2.1,2.1,5000.0,0.024390243902439046
288,2014-11-28,2.05,2.16,2.16,2.05,534400.0,0.02499999999999991
289,2014-12-01,2.0,2.03,2.04,1.99,160000.0,-0.024390243902438935
290,2014-12-02,2.05,2.1,2.1,2.04,242500.0,0.0
291,2014-12-03,2.05,2.04,2.05,2.04,2000000.0,0.0
292,2014-12-04,2.05,2.05,2.06,2.05,1600000.0,-0.023809523809523947
293,2014-12-05,2.1,2.05,2.1,2.05,1150000.0,0.024390243902439046
294,2014-12-08,2.05,2.08,2.08,2.05,82500.0,0.0
295,2014-12-09,2.05,2.08,2.08,2.05,723300.0,0.0
296,2014-12-10,2.05,2.05,2.06,2.05,257000.0,0.0
297,2014-12-11,2.05,2.05,2.05,2.05,837000.0,0.0
298,2014-12-12,2.05,2.05,2.05,2.05,1020000.0,0.12637362637362615
299,2014-12-15,1.82,1.92,1.92,1.7,60500.0,0.13749999999999996
300,2014-12-16,1.6,1.7,1.7,1.6,171200.0,0.0062893081761006275
301,2014-12-17,1.59,1.61,1.68,1.59,110000.0,-0.0479041916167664
302,2014-12-18,1.67,1.64,1.67,1.64,82900.0,0.0121212121212122
303,2014-12-19,1.65,1.68,1.7,1.65,42800.0,-0.051724137931034475
304,2014-12-22,1.74,1.7,1.77,1.7,204000.0,-0.005714285714285672
305,2014-12-23,1.75,1.77,1.78,1.75,66400.0,0.0
306,2014-12-24,1.75,1.75,1.75,1.75,2500.0,-0.011299435028248594
307,2014-12-26,1.77,1.73,1.77,1.73,67200.0,0.011428571428571344
308,2014-12-29,1.75,1.75,1.77,1.75,53000.0,0.0
309,2014-12-30,1.75,1.75,1.75,1.74,116500.0,0.011560693641618602
310,2014-12-31,1.73,1.74,1.74,1.73,12900.0,0.0
311,2015-01-05,1.73,1.75,1.75,1.73,13700.0,0.029761904761904878
312,2015-01-06,1.68,1.68,1.68,1.68,10000.0,0.05660377358490565
313,2015-01-07,1.59,1.65,1.65,1.59,99400.0,-0.006249999999999978
314,2015-01-08,1.6,1.6,1.62,1.6,51300.0,-0.018404907975460016
315,2015-01-09,1.63,1.6,1.64,1.59,118100.0,-0.0060975609756097615
316,2015-01-12,1.64,1.63,1.64,1.63,4000.0,0.04458598726114649
317,2015-01-13,1.57,1.63,1.63,1.52,225200.0,-0.012578616352201255
318,2015-01-15,1.59,1.58,1.63,1.57,39500.0,0.02580645161290329
319,2015-01-16,1.55,1.58,1.59,1.55,44000.0,-0.0064102564102563875
320,2015-01-19,1.56,1.64,1.64,1.56,170000.0,-0.03703703703703709
321,2015-01-20,1.62,1.58,1.62,1.58,89300.0,0.03846153846153855
322,2015-01-21,1.56,1.55,1.62,1.55,264500.0,-0.03703703703703709
323,2015-01-22,1.62,1.59,1.63,1.57,904800.0,0.04516129032258065
324,2015-01-23,1.55,1.64,1.66,1.54,1210000.0,0.06896551724137945
325,2015-01-26,1.45,1.55,1.55,1.43,608900.0,0.0
326,2015-01-27,1.45,1.5,1.55,1.42,635900.0,0.028368794326241176
327,2015-01-28,1.41,1.47,1.47,1.4,523000.0,0.0601503759398494
328,2015-01-29,1.33,1.42,1.42,1.32,929400.0,0.03100775193798455
329,2015-01-30,1.29,1.37,1.37,1.29,926600.0,-0.04444444444444451
330,2015-02-04,1.35,1.39,1.42,1.32,2060000.0,0.03846153846153855
331,2015-02-05,1.3,1.35,1.35,1.3,1430000.0,-0.07142857142857129
332,2015-02-06,1.4,1.33,1.41,1.33,1450000.0,-0.02777777777777779
333,2015-02-09,1.44,1.43,1.5,1.39,2680000.0,-0.033557046979865834
334,2015-02-10,1.49,1.45,1.5,1.45,1380000.0,0.04195804195804209
335,2015-02-11,1.43,1.49,1.49,1.42,545400.0,-0.01379310344827589
336,2015-02-12,1.45,1.41,1.46,1.41,292200.0,-0.046052631578947456
337,2015-02-13,1.52,1.47,1.53,1.47,1240000.0,0.0066225165562914245
338,2015-02-16,1.51,1.53,1.56,1.5,913100.0,0.01342281879194629
339,2015-02-17,1.49,1.5,1.52,1.49,291600.0,-0.044871794871794934
340,2015-02-18,1.56,1.49,1.56,1.49,800800.0,-0.03105590062111807
341,2015-02-23,1.61,1.57,1.65,1.55,1810000.0,0.05228758169934644
342,2015-02-24,1.53,1.61,1.61,1.53,901300.0,-0.04375000000000007
343,2015-02-25,1.6,1.53,1.6,1.53,554800.0,-0.012345679012345734
344,2015-02-26,1.62,1.6,1.62,1.58,789900.0,0.012499999999999956
345,2015-02-27,1.6,1.62,1.62,1.59,590200.0,0.025641025641025772
346,2015-03-02,1.56,1.6,1.6,1.54,175200.0,0.0
347,2015-03-03,1.56,1.56,1.56,1.54,308400.0,0.019607843137254832
348,2015-03-04,1.53,1.55,1.55,1.52,108000.0,-0.006493506493506551
349,2015-03-05,1.54,1.53,1.54,1.5,154100.0,0.006535947712418277
350,2015-03-06,1.53,1.53,1.53,1.51,84900.0,0.05517241379310356
351,2015-03-09,1.45,1.52,1.52,1.45,351300.0,0.00694444444444442
352,2015-03-10,1.44,1.43,1.46,1.43,171500.0,0.028571428571428692
353,2015-03-11,1.4,1.42,1.42,1.39,360400.0,-0.034482758620689724
354,2015-03-12,1.45,1.41,1.46,1.41,439500.0,0.021126760563380254
355,2015-03-13,1.42,1.45,1.45,1.42,368500.0,0.03649635036496335
356,2015-03-16,1.37,1.4,1.4,1.37,369800.0,0.04580152671755733
357,2015-03-17,1.31,1.38,1.4,1.31,473800.0,-0.015037593984962405
358,2015-03-18,1.33,1.3,1.33,1.3,196400.0,-0.02919708029197088
359,2015-03-19,1.37,1.33,1.38,1.33,226100.0,0.02238805970149249
360,2015-03-20,1.34,1.36,1.36,1.34,20700.0,-0.014705882352941235
